stock_code,stock_name,issue_size,bond_ratio,progress,progress_date,pb_jisilu,days_diff,market_cap,pb,norm_ratio,norm_size,score,rank_group,is_star
603500,祥和实业,4.0,10.03,上市委通过,2025-12-09,3.93,22,39.88035892323031,3.93,0.29713340683572215,0.044557606619987276,0.05794969741672555,TOP5,True
688533,上声电子,3.3,6.93,上市委通过,2025-11-24,2.83,37,47.61904761904761,2.83,0.12624035281146637,0.0,0.03787210584343991,TOP5,True
600853,龙建股份,10.0,22.78,同意注册,2025-07-23,1.122,161,43.89815627743635,1.122,1.0,0.42647994907702097,0.0014640356460853265,TOP5,True
300622,博士眼镜,3.75,5.3,上市委通过,2025-12-18,8.345,13,70.75471698113208,8.345,0.036383682469680274,0.02864417568427754,-0.009135818238090196,TOP5,True
300818,耐普矿机,4.5,7.04,上市委通过,2025-12-04,3.529,27,63.92045454545454,3.529,0.13230429988974643,0.07638446849140676,-0.013777837977060801,TOP5,True
603759,海天股份,8.01,16.46,上市委通过,2025-12-17,1.709,14,48.663426488456864,1.709,0.6515986769570011,0.29980903882877147,-0.014386724093039677,NEXT5,False
002452,长高电新,7.59,14.87,上市委通过,2025-12-19,1.965,12,51.04236718224613,1.965,0.5639470782800441,0.2730744748567791,-0.02196800891573214,NEXT5,False
688210,统联精密,5.76,6.43,上市委通过,2025-12-13,6.84,18,89.5800933125972,6.84,0.09867695700110253,0.15658816040738383,-0.08000862518483791,NEXT5,False
688300,联瑞新材,6.95,4.64,同意注册,2025-11-25,9.179,36,149.7844827586207,9.179,0.0,0.2323360916613622,-0.16263526416295354,NEXT5,False
688798,艾为电子,19.01,10.71,上市委通过,2025-12-05,4.255,26,177.49766573295983,4.255,0.334619625137817,1.0,-0.5996141124586548,NEXT5,False
